Sample_ID,Longitude,Latitude,Slope (%),Aspect (˚),Elevation (m)
S1,16.6542455,-23.791474,89.990,321.3,1554
S2,16.6542978,-23.7919629,89.987,264.2,1557
S3,16.65422,-23.7924176,89.993,139.8,1555
S4,16.6541637,-23.7929556,89.992,145.3,1551
S5,16.6537479,-23.7927449,89.992,176.2,1554
S6,16.6537345,-23.7922286,89.936,25.2,1556
S7,16.6538157,-23.7917012,89.988,338.2,1555
S8,16.6537617,-23.7910772,89.936,314.5,1552
S9,16.6535273,-23.7905186,89.987,126.9,1555
S10,16.6533134,-23.7900213,89.985,346.0,1554
S11,16.6529054,-23.7895304,89.986,206.6,1554
S12,16.652783,-23.7890362,89.987,216.9,1555
S13,16.6532356,-23.7886652,89.989,192.4,1554
S14,16.6533922,-23.7892208,89.983,113.2,1554
S15,16.6536463,-23.7897255,89.985,284.0,1554
S16,16.6538841,-23.7902842,89.987,143.1,1554
S17,16.6539354,-23.7907198,89.970,135.0,1553
S18,16.6551289,-23.7913496,89.975,168.7,1557
S19,16.6552309,-23.7917362,89.988,158.2,1555
S20,16.6552848,-23.7921089,89.994,182.5,1552
S21,16.6554143,-23.7924369,,,
S22,16.6555319,-23.7927973,89.984,180.0,1547
S23,16.6556439,-23.7932063,89.993,135.0,1544
S24,16.6552181,-23.7933275,89.991,135.0,1546
S25,16.6553569,-23.7937066,89.991,123.7,1544
S26,16.6555541,-23.7941677,89.993,125.5,1541
S27,16.6556986,-23.7944184,89.960,161.6,1539
S28,16.6522177,-23.7947279,89.990,147.5,1546
S29,16.6518546,-23.7950322,89.992,180.0,1545
S30,16.6513775,-23.7951942,89.991,188.1,1542
S31,16.6509095,-23.7952878,89.989,180.0,1542
S32,16.6504662,-23.7954491,89.985,215.5,1540
S33,16.6505605,-23.7958415,89.978,211.0,1540
S34,16.6510459,-23.7960605,89.982,135.0,1538
S35,16.6515287,-23.7961756,89.960,251.6,1536
S36,16.6521128,-23.7961004,89.987,216.9,1539
S37,16.6523881,-23.7957694,89.985,225.0,1541
S38,16.6522784,-23.7961286,89.987,216.9,1539
S39,16.6524025,-23.7965278,89.987,108.4,1536
S40,16.6515478,-23.7969152,89.992,194.0,1536
S41,16.6507026,-23.7972655,89.987,161.6,1535
S42,16.632273,-23.78967,89.990,315.0,1540
S43,16.6359454,-23.7911613,89.978,59.0,1546
S44,16.6357017,-23.7915567,89.993,188.5,1550
S45,16.6353305,-23.7911772,89.985,305.5,1546
S46,16.6364199,-23.7919442,89.993,49.4,1550
S47,16.6361288,-23.7924857,89.982,351.9,1552
S48,16.6356605,-23.7926584,89.989,335.6,1552
S49,16.635226,-23.792849,89.986,333.4,1551
S50,16.634758,-23.792796,89.987,306.9,1550
S51,16.6343495,-23.792879,89.989,301.0,1549
S52,16.6343133,-23.7924102,89.990,288.4,1549
S53,16.627265,-23.791234,89.960,161.6,1550
S54,16.627686,-23.790871,89.970,346.9,1549
S55,16.628223,-23.790522,89.988,174.8,1549
S56,16.628769,-23.790473,89.991,153.4,1547
S57,16.6299135,-23.79039,89.991,153.4,1546
S58,16.630422,-23.790321,89.989,121.0,1543
S59,16.630868,-23.790152,89.980,108.4,1542
S60,16.63156,-23.789918,89.982,56.3,1540
S61,16.631861,-23.789641,89.990,347.0,1539
S62,16.6428,-23.78649,89.978,149.0,1539
S63,16.64311,-23.787264,89.988,240.9,1536
S64,16.643443,-23.78656,89.972,243.4,1539
S65,16.643854,-23.786543,89.983,336.8,1539
S66,16.643782,-23.786165,89.988,158.2,1539
S67,16.65399,-23.7967,89.968,180.0,1540
S68,16.65412,-23.7963,89.977,135.0,1540
S69,16.654,-23.79587,89.978,149.0,1540
S70,16.65412,-23.79583,89.960,108.4,1539
S71,16.65421,-23.79505,89.978,149.0,1541
S72,16.65423,-23.79454,89.989,180.0,1544
S73,16.65445,-23.79429,89.988,185.2,1546
S74,16.65389,-23.79424,89.987,180.0,1546
S75,16.65346,-23.79421,89.968,90.0,1545
S76,16.65305,-23.79441,89.970,135.0,1546
S77,16.65261,-23.79449,89.991,164.1,1547
S78,16.65492,-23.78974,89.987,53.1,1554
S79,16.6548,-23.79014,89.990,308.7,1556
S80,16.65468,-23.79057,89.991,298.3,1557
S81,16.65499,-23.78932,89.992,86.2,1554
S82,16.65503,-23.78892,89.991,26.6,1553
S83,16.6551,-23.78846,89.987,317.0,1550
S84,16.65512,-23.78805,89.985,209.8,1549
S85,16.65504,-23.78767,89.985,14.0,1548
S86,16.65466,-23.79132,89.975,258.7,1556
S87,16.65464,-23.79104,89.987,233.1,1556
S88,16.65349,-23.79673,89.991,270.0,1539
S89,16.65302,-23.79683,89.987,341.6,1536
S90,16.65259,-23.79689,89.986,26.6,1537
S91,16.65213,-23.797,89.910,225.0,1537
S92,16.65115,-23.79695,89.989,180.0,1536
S93,16.63578,-23.79051,89.992,330.3,1543
S94,16.63535,-23.7906,89.993,347.5,1541
S95,16.63492,-23.79074,89.992,190.3,1544
S96,16.63447,-23.79081,89.992,315.0,1543
S97,16.63402,-23.79099,89.986,333.4,1542
S98,16.63361,-23.7911,89.977,315.0,1541
S99,16.63326,-23.79084,89.987,288.4,1541
S100,16.63316,-23.79039,89.910,45.0,1539
S101,16.63362,-23.79027,89.993,339.4,1540
S102,16.63405,-23.7901,89.985,284.0,1540
S103,16.63317,-23.78972,89.991,81.9,1538
S104,16.63278,-23.78956,89.986,63.4,1539
S105,16.63244,-23.7901,89.979,180.0,1541
S106,16.632,-23.79036,89.977,135.0,1539
S107,16.63159,-23.79059,89.988,111.8,1540
S108,16.63123,-23.79075,89.960,108.4,1542
S109,16.63076,-23.79094,89.936,90.0,1542
S110,16.63031,-23.79118,89.960,108.4,1542
S111,16.629914,-23.791313,89.992,50.2,1543
S112,16.629513,-23.791463,89.979,281.2,1545