Sample_ID,Longitude,Latitude,Slope (%),Aspect (˚),Elevation (m),NDVI,Land Use,Dist_Main_Road  (m),Dist_Near_Road (m),Dist_Tailing (m),Sand (%),Silt (%),Clay (%),pH,EC (µs/cm),TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pb (mg/kg)
S1,16.6542455,-23.791474,4.54993,338.19861,1554,0.0655,barren,2473,1535,233,91.2,7.6,1.2,7.3,100,50,1.56,247.98,30.21,9.123
S2,16.6542978,-23.7919629,4.22451,126.8699,1557,0.0684,barren,2507,1533,226,87.9,10.4,1.6,7.9,137,68,1.65,359.081,31.586,8.282
S3,16.65422,-23.7924176,6.00415,140.7106,1555,0.0672,barren,2529,1521,200,91.8,7,1.3,7.1,109,54.5,2.62,243.819,31.527,5.749
S4,16.6541637,-23.7929556,6.09267,123.69006,1551,0.059,barren,2559,1511,175,89.7,8.8,1.5,7.5,90,44.5,2.25,314.907,34.707,9.071
S5,16.6537479,-23.7927449,3.04634,146.30994,1554,0.0593,barren,2511,1470,141,86.4,12,1.6,8,119,59.5,2.12,384.931,26.657,8.338
S6,16.6537345,-23.7922286,1.33591,198.43495,1556,0.0615,barren,2476,1473,162,89,9.4,1.6,8,179,89.5,3.39,132.867,22.824,6.566
S7,16.6538157,-23.7917012,4.54993,338.19861,1555,0.0594,barren,2450,1488,185,87.1,11.4,1.5,7.5,486,242.5,1.97,121.958,26.613,5.643
S8,16.6537617,-23.7910772,0.8449,63.43495,1552,0.0658,barren,2407,1493,192,88.6,9.8,1.6,7.2,591,295,2.8,58.462,19.708,7.113
S9,16.6535273,-23.7905186,4.22451,126.8699,1555,0.0664,barren,2354,1481,181,89.4,8.6,2,8.1,246,122.5,3.42,125.126,29.015,6.654
S10,16.6533134,-23.7900213,3.48362,345.96375,1554,0.0657,barren,2307,1469,169,86.9,11.2,1.9,7.5,140,70.5,2.47,99.254,17.899,4.95
S11,16.6529054,-23.7895304,3.48362,194.03625,1554,0.0685,barren,2244,1425,145,88.7,9.3,2,7.6,87,43,2.43,73.397,18.61,4.744
S12,16.652783,-23.7890362,2.15408,348.69006,1555,0.0702,barren,2206,1411,169,87.3,10.7,2,6.8,72,36,1.41,60.152,20.303,5.34
S13,16.6532356,-23.7886652,4.54993,21.80141,1554,0.0678,barren,2227,1458,231,95.4,3.9,0.8,7.2,94,47,1.29,123.04,19.87,6.514
S14,16.6533922,-23.7892208,1.33591,341.56506,1554,0.0678,barren,2270,1473,205,88.9,9.6,1.5,7.2,89,45,1.63,178.468,22.746,6.066
S15,16.6536463,-23.7897255,3.48362,284.03625,1554,0.0673,barren,2320,1501,209,84.4,13.8,1.8,7.7,71,35,1.5,213.765,26.07,7.63
S16,16.6538841,-23.7902842,4.22451,143.1301,1554,0.067,barren,2372,1522,221,89.2,8.9,1.9,7.8,108,54,2.03,167.496,26.167,6.44
S17,16.6539354,-23.7907198,1.79231,135,1553,0.0657,barren,2401,1517,217,88.8,9.1,2.1,7.3,82,41,1.7,310.921,29.061,8.78
S18,16.6551289,-23.7913496,2.15408,168.69006,1557,0.0679,barren,2541,1626,324,90.2,8,1.8,7.2,104,52,1.57,58.653,22.727,6.197
S19,16.6552309,-23.7917362,5.13933,170.53769,1555,0.0645,barren,2573,1631,324,90.6,8.2,1.2,7.4,131,65.5,1.92,36.973,23.714,6.382
S20,16.6552848,-23.7921089,5.10449,204.44395,1552,0.0697,barren,2600,1632,313,92.3,6.4,1.3,8,86,43,2.79,49.061,16.505,3.617
S21,16.6554143,-23.7924369,7.38987,210.96375,1548,0.0661,barren,2631,1646,313,94.9,3.1,2.1,7.9,105,52,6.71,54.783,23.942,3.372
S22,16.6555319,-23.7927973,3.37961,180,1547,0.0582,barren,2663,1651,316,89.6,8.8,1.6,7.6,177,88.5,5.32,155.584,65.754,9.121
S23,16.6556439,-23.7932063,4.81668,142.12502,1544,0.0697,barren,2698,1661,323,85.3,11.7,3,7.7,201,101,6.16,37.72,46.059,4.321
S24,16.6552181,-23.7933275,5.97436,135,1546,0.07,barren,2670,1618,280,86.6,12.6,0.8,7.7,163,81,4.27,123.828,54.678,8.443
S25,16.6553569,-23.7937066,6.09267,123.69006,1544,0.0755,barren,2706,1632,299,86.4,11.1,2.5,8,194,97.5,1.61,80.375,32.715,7.482
S26,16.6555541,-23.7941677,7.26812,125.53767,1541,0.0643,barren,2752,1653,331,85.9,10.9,3.3,7.5,226,113,4.02,96.893,32.592,6.472
S27,16.6556986,-23.7944184,5.66777,116.56505,1539,0.0723,barren,2781,1669,354,87.1,11,1.9,7.9,129,64,2.66,95.876,39.46,9.167
S28,16.6522177,-23.7947279,5.50808,147.52881,1546,0.0601,barren,2529,1318,141,90.2,8.4,1.4,7.3,162,81,2.56,89.981,36.83,7.707
S29,16.6518546,-23.7950322,6.75921,180,1545,0.0564,barren,2525,1285,157,89.5,8.6,1.9,7.5,71,35.5,2.8,47.615,26.91,6.446
S30,16.6513775,-23.7951942,6.96724,194.03625,1542,0.0574,barren,2502,1240,154,89.9,8.6,1.5,7.3,153,76,3.71,40.951,28.95,5.374
S31,16.6509095,-23.7952878,5.91431,180,1542,0.0585,barren,2474,1194,145,91.2,7.1,1.8,8,129,64.5,1.57,88.073,29.26,7.231
S32,16.6504662,-23.7954491,5.66777,206.56505,1540,0.0604,barren,2454,1153,143,90.2,7.2,2.6,7,124,61.5,1.47,40.71,31.865,6.599
S33,16.6505605,-23.7958415,2.5347,180,1540,0.064,barren,2491,1171,187,,,,,,,,,,
S34,16.6510459,-23.7960605,2.98718,135,1538,0.0589,barren,2543,1225,229,87.4,9.9,2.6,7.9,244,122,2.28,39.384,25.117,5.835
S35,16.6515287,-23.7961756,1.33591,251.56505,1536,0.0596,barren,2587,1275,260,86.4,10.8,2.8,7.2,81,40.5,1.33,51.05,19.256,6.655
S36,16.6521128,-23.7961004,4.22451,216.8699,1539,0.0579,barren,2625,1332,277,90.1,7.7,2.1,8,89,44.5,1.25,94.136,20.47,5.454
S37,16.6523881,-23.7957694,3.58461,225,1541,0.0604,barren,2621,1352,254,90.4,7.9,1.7,7.9,158,78.5,1.93,31.306,21.806,4.923
S38,16.6522784,-23.7961286,4.22451,216.8699,1539,0.0608,barren,2639,1349,286,92.3,5.9,1.7,8.1,138,69,1.91,30.353,15.872,5.908
S39,16.6524025,-23.7965278,7.21884,159.44395,1536,0.0683,barren,2679,1371,332,89.1,7.3,3.7,8,103,51.5,1.48,132.498,26.583,4.331
S40,16.6515478,-23.7969152,6.96724,194.03625,1536,0.0723,barren,2640,1299,336,91.2,6.8,2,7.7,70,34.5,2.42,72.538,18.235,4.773
S41,16.6507026,-23.7972655,3.82545,186.34019,1535,0.0662,barren,2568,1229,338,91.8,6.4,1.8,7,140,70.5,1.9,21.381,34.107,5.547
S42,16.632273,-23.78967,5.37692,315,1540,0.1029,residential,524,22,1071,97,2.5,0.5,7.1,116,58,1.6,13.275,18.008,7.437
S43,16.6359454,-23.7911613,2.98718,81.8699,1546,0.0688,residential,931,8,668,87,10.9,2.1,7.6,112,55.5,1.76,148.463,18.624,5.662
S44,16.6357017,-23.7915567,6.43458,23.19859,1550,0.0647,residential,920,3,685,92.5,6.5,1,8.4,289,144.5,2.8,59.463,22.532,4.921
S45,16.6353305,-23.7911772,3.48362,255.96376,1546,0.0821,residential,872,21,729,82.2,17.5,0.3,7.2,4645,2320.5,2.55,212.781,30.855,9.755
S46,16.6364199,-23.7919442,7.78961,49.3987,1550,0.0837,residential,1003,3,607,94.2,4.7,1.1,8,170,85,2.63,117.323,33.297,10.016
S47,16.6361288,-23.7924857,2.98718,351.8699,1552,0.1071,residential,993,62,635,89.9,8.8,1.3,7.7,166,83.5,3.39,72.583,70.685,59.105
S48,16.6356605,-23.7926584,2.46329,329.03625,1552,0.0933,residential,953,68,683,90.2,8.2,1.6,6.9,121,60.5,0.8,21.476,11.909,4.767
S49,16.635226,-23.792849,3.77851,333.43494,1551,0.1134,residential,917,64,729,91.1,7.4,1.5,8.2,556,277.5,2.43,46.818,30.188,60.017
S50,16.634758,-23.792796,4.22451,306.8699,1550,0.0724,residential,869,55,776,88.7,10.7,0.7,7.3,294,146.5,2.28,105,132.337,45.8
S51,16.6343495,-23.792879,4.92658,300.96375,1549,0.08,residential,832,23,818,91.9,6.9,1.2,7.6,232,116,2.35,53.52,25.213,20.548
S52,16.6343133,-23.7924102,6.9928,295.01691,1549,0.0748,residential,814,3,820,86.9,12.5,0.5,7.9,226,114,1.98,98.302,20.039,8.207
S53,16.627265,-23.791234,3.04634,213.69006,1550,0.0544,residential,88,11,1544,89.2,9.1,1.7,7.7,181,90.5,1.95,17.752,29.078,13.204
S54,16.627686,-23.790871,1.79231,45,1549,0.0517,residential,117,17,1505,87.6,10.4,2,7.7,205,102,1.86,18.805,29.841,5.605
S55,16.628223,-23.790522,4.66612,174.80557,1549,0.0737,residential,158,15,1456,90.1,8.2,1.7,7.7,499,249.5,1.54,23.904,25.471,7.103
S56,16.628769,-23.790473,5.66777,153.43495,1547,0.0636,residential,209,14,1401,87.5,11.1,1.5,7.7,113,56.5,1.31,18.334,18.72,7.965
S57,16.6299135,-23.79039,5.34363,161.56505,1546,0.0592,residential,318,2,1288,90.5,8,1.5,7.5,259,129.5,1.55,16.519,26.027,8.488
S58,16.630422,-23.790321,5.41001,141.34019,1543,0.0801,residential,365,3,1238,87.9,9,3.1,6.9,332,166,2.98,16.735,22.995,6.276
S59,16.630868,-23.790152,2.67181,108.43495,1542,0.0787,residential,403,9,1197,87,11.7,1.3,7.2,184,92,1.53,66.985,63.89,24.319
S60,16.63156,-23.789918,3.63406,35.53768,1540,0.0713,residential,463,1,1134,86.4,12.5,1.1,7,238,118.5,3.57,104.175,92.416,25.918
S61,16.631861,-23.789641,5.66777,26.56505,1539,0.0973,residential,483,10,1112,85.1,14.3,0.6,7.7,533,266.5,2.31,87.777,45.442,17.236
S62,16.6428,-23.78649,5.91431,180,1539,0.0733,barren,1205,484,495,87.2,11.2,1.5,7.1,311,155.5,2.58,173.682,20.738,7.24
S63,16.64311,-23.787264,4.3494,240.94539,1536,0.0749,barren,1286,468,404,89.9,9.9,0.2,6.5,6831,3413.5,2.47,25.786,23.744,6.672
S64,16.643443,-23.78656,1.88926,243.43495,1539,0.0612,barren,1260,534,468,84.9,13.2,2,7.5,130,64.5,1.99,87.868,27.597,36.567
S65,16.643854,-23.786543,3.21729,336.80139,1539,0.0805,barren,1292,572,457,97,2.5,0.4,7.5,38,19,0.84,24.812,13.952,6.19
S66,16.643782,-23.786165,4.54993,158.19859,1539,0.0601,barren,1261,587,499,90.5,8.1,1.3,7.6,50,25.5,2.17,47.135,20.368,6.964
S67,16.65399,-23.7967,1.6898,180,1540,0.0632,barren,2810,1533,414,89.2,8.8,2,8.4,140,70,1.6,43.08,23.491,4.394
S68,16.65412,-23.7963,2.38974,135,1540,0.0655,barren,2790,1536,379,91.4,6.5,2.1,7.6,104,52,1.82,87.472,43.901,22.797
S69,16.654,-23.79587,2.46329,149.03624,1540,0.0604,barren,2749,1516,331,87.6,10.6,1.8,7.4,103,51.5,1.5,200.787,25.961,6.144
S70,16.65412,-23.79583,1.33591,108.43495,1539,0.0604,barren,2755,1527,333,86.5,12.1,1.4,7.9,120,60,2.43,184.187,21.663,6.962
S71,16.65421,-23.79505,2.46329,149.03624,1541,0.0574,barren,2705,1524,268,89.1,9.1,1.9,7.7,176,87.5,3.7,94.22,31.944,7.288
S72,16.65423,-23.79454,5.06941,180,1544,0.0539,barren,2671,1521,230,73.6,22.8,3.6,7.2,254,126.5,3.3,23.95,36.388,5.481
S73,16.65445,-23.79429,4.66612,185.19443,1546,0.0692,barren,2671,1541,233,79.3,16.3,4.3,7.4,156,77.5,1.77,54.154,18.302,5.563
S74,16.65389,-23.79424,4.22451,180,1546,0.0655,barren,2623,1484,183,74,19.4,6.6,7.9,236,118.5,3.49,102.285,33.954,7.389
S75,16.65346,-23.79421,1.88926,206.56505,1545,0.0725,barren,2587,1440,148,86.7,11,2.4,7.9,73,36,1.84,63.618,24.769,6.614
S76,16.65305,-23.79441,1.79231,135,1546,0.065,barren,2569,1400,143,87.6,9.7,2.7,7.5,116,58,2.21,86.128,31.006,7.551
S77,16.65261,-23.79449,4.54993,158.19859,1547,0.0587,barren,2541,1356,133,87.8,10.5,1.7,7.8,119,60,2.07,112.335,30.232,7.787
S78,16.65492,-23.78974,4.22451,53.1301,1554,0.0733,barren,2434,1631,336,89.2,9.4,1.3,7.7,133,66,1.45,17.251,18.152,4.508
S79,16.6548,-23.79014,5.41001,308.65979,1556,0.0739,barren,2445,1617,316,90.2,7.9,1.9,8,124,62.5,1.95,22.176,30.845,5.364
S80,16.65468,-23.79057,6.23741,298.30075,1557,0.0694,barren,2458,1595,295,90,9.2,0.9,7.6,55,27.5,1.22,25.034,20.481,5.563
S81,16.65499,-23.78932,6.35083,86.18593,1554,0.0722,barren,2419,1636,353,90.8,7.7,1.5,7.2,176,88,3.36,36.788,19.39,4.834
S82,16.65503,-23.78892,5.66777,26.56505,1553,0.0753,barren,2402,1640,371,86,11.7,2.2,8.1,54,27,2.04,43.341,18.017,5.682
S83,16.6551,-23.78846,4.00772,18.43495,1550,0.0918,barren,2384,1648,399,92.9,5.2,2,8,40,19.5,3.5,37.107,20.513,5.533
S84,16.65512,-23.78805,2.98718,45,1549,0.0877,barren,2366,1653,423,97.5,2.1,0.4,7.7,103,51.5,1.33,35.787,18.543,6.474
S85,16.65504,-23.78767,5.50808,4.3987,1548,0.0643,barren,2340,1648,442,89.9,8.9,1.2,7.8,130,65.5,1.87,521.447,26.655,17.895
S86,16.65466,-23.79132,2.15408,258.69006,1556,0.0681,barren,2499,1579,277,90.3,8.1,1.6,7.4,62,31,2.73,51.764,25.345,6.417
S87,16.65464,-23.79104,4.22451,233.1301,1556,0.0664,barren,2481,1582,281,89.6,8.7,1.7,7.9,85,42,2.68,26.522,26.43,5.799
S88,16.65349,-23.79673,5.91431,270,1539,0.0668,barren,2775,1484,397,88.6,9.3,2.2,8.3,130,65,2.4,24.127,22.052,4.598
S89,16.65302,-23.79683,4.00772,341.56506,1536,0.0719,barren,2748,1440,388,92.1,6.5,1.4,8.3,65,32.5,1.69,23.513,17.311,4.486
S90,16.65259,-23.79689,5.34363,18.43495,1537,0.0652,barren,2720,1400,376,91.4,6.6,2,8.3,107,53.5,2.69,34.476,27.203,4.418
S91,16.65213,-23.797,0.59744,225,1537,0.0687,barren,2695,1358,369,91.1,7.3,1.6,8.2,68,34,1.08,15.705,22.506,5.393
S92,16.65115,-23.79695,7.19408,183.36646,1536,0.069,barren,2602,1261,324,87.3,10.2,2.5,7.6,191,95,2.01,43.658,16.021,5.399
S93,16.63578,-23.79051,6.81181,330.25513,1543,0.0682,residential,893,21,702,84.6,14.1,1.4,7.8,113,56.5,3.18,499.081,72.544,11.335
S94,16.63535,-23.7906,8.29984,345.25644,1541,0.0692,residential,854,38,741,84.1,13.5,2.3,8.4,197,98.5,3.58,37.994,27.147,5.497
S95,16.63492,-23.79074,6.75921,0,1544,0.0692,residential,817,37,780,89,8.8,2.1,8,172,85.5,3.75,57.721,26.161,4.973
S96,16.63447,-23.79081,6.57179,315,1543,0.0759,residential,776,44,823,87.9,9.6,2.5,7.8,150,75,1.68,48.77,22.239,4.545
S97,16.63402,-23.79099,6.00415,320.71057,1542,0.0669,residential,738,39,864,82.5,15.6,1.9,8.6,272,136,2.43,33.397,22.823,5.27
S98,16.63361,-23.7911,2.38974,315,1541,0.0699,residential,702,40,903,88.2,10.1,1.7,8.4,143,71,1.08,102.606,20.621,8.503
S99,16.63326,-23.79084,5.97436,278.1301,1541,0.0746,residential,659,48,943,84.6,13.1,2.2,8.3,297,148.5,2.33,98.168,33.633,22.109
S100,16.63316,-23.79039,5.6362,282.99463,1539,0.0614,residential,634,3,963,83.1,12.8,4.1,7.8,1490,745,2.02,15.872,18.994,4.741
S101,16.63362,-23.79027,6.67953,341.56506,1540,0.0594,residential,675,12,921,80.6,16.9,2.5,8.4,154,76.5,2.15,39.91,22.124,7.422
S102,16.63405,-23.7901,1.33591,18.43495,1540,0.0622,residential,711,15,884,79.6,15.6,4.8,8.8,268,134,2.67,33.34,20.815,6.208
S103,16.63317,-23.78972,6.81181,82.87498,1538,0.1126,residential,613,62,982,84.8,13.8,1.4,8.2,170,85,2.02,24.362,29.416,8.293
S104,16.63278,-23.78956,4.81668,74.74488,1539,0.1062,residential,570,41,1025,88.5,11,0.5,8,259,129.5,2.52,18.921,26.123,8.809
S105,16.63244,-23.7901,3.37961,180,1541,0.0822,residential,554,51,1042,90.2,8.5,1.3,10.1,1515,758,2.28,35.81,50.214,19.192
S106,16.632,-23.79036,3.04634,123.69006,1539,0.0682,residential,520,25,1079,89.9,9.1,1,8.2,1223,610.5,2.79,24.266,76.589,21.148
S107,16.63159,-23.79059,4.00772,108.43495,1540,0.0523,residential,488,15,1116,80.5,17.2,2.2,8,133,66.5,1.53,11.436,30.837,8.813
S108,16.63123,-23.79075,1.33591,108.43495,1542,0.0509,residential,458,21,1149,81.8,16,2.1,7.6,1094,547,1.91,46.966,19.033,5.731
S109,16.63076,-23.79094,2.38974,135,1542,0.0627,residential,419,16,1193,89.2,9,1.8,7.8,176,87.5,2.37,84.181,56.172,44.912
S110,16.63031,-23.79118,3.63406,54.46232,1542,0.0717,residential,383,6,1235,87.4,9.7,2.9,7.8,174,87,2.71,26.106,22.893,6.894
S111,16.629914,-23.791313,6.59889,50.19443,1543,0.0639,residential,349,7,1274,89.1,1.6,9.3,7.8,135,67.5,1.61,19.526,42.374,10.842
S112,16.629513,-23.791463,2.46329,329.03625,1545,0.061,residential,315,6,1313,89.2,8.8,2,7.7,160,79.5,1.85,19.636,31.981,7.324