Sample_ID,Longitude,Latitude,Dist_Main_Road  (m),Dist_Near_Road (m),Dist_Tailing (m)
S1,16.6542455,-23.791474,2473,1535,233
S2,16.6542978,-23.7919629,2507,1533,226
S3,16.65422,-23.7924176,2529,1521,200
S4,16.6541637,-23.7929556,2559,1511,175
S5,16.6537479,-23.7927449,2511,1470,141
S6,16.6537345,-23.7922286,2476,1473,162
S7,16.6538157,-23.7917012,2450,1488,185
S8,16.6537617,-23.7910772,2407,1493,192
S9,16.6535273,-23.7905186,2354,1481,181
S10,16.6533134,-23.7900213,2307,1469,169
S11,16.6529054,-23.7895304,2244,1425,145
S12,16.652783,-23.7890362,2206,1411,169
S13,16.6532356,-23.7886652,2227,1458,231
S14,16.6533922,-23.7892208,2270,1473,205
S15,16.6536463,-23.7897255,2320,1501,209
S16,16.6538841,-23.7902842,2372,1522,221
S17,16.6539354,-23.7907198,2401,1517,217
S18,16.6551289,-23.7913496,2541,1626,324
S19,16.6552309,-23.7917362,2573,1631,324
S20,16.6552848,-23.7921089,2600,1632,313
S21,16.6554143,-23.7924369,2631,1646,313
S22,16.6555319,-23.7927973,2663,1651,316
S23,16.6556439,-23.7932063,2698,1661,323
S24,16.6552181,-23.7933275,2670,1618,280
S25,16.6553569,-23.7937066,2706,1632,299
S26,16.6555541,-23.7941677,2752,1653,331
S27,16.6556986,-23.7944184,2781,1669,354
S28,16.6522177,-23.7947279,2529,1318,141
S29,16.6518546,-23.7950322,2525,1285,157
S30,16.6513775,-23.7951942,2502,1240,154
S31,16.6509095,-23.7952878,2474,1194,145
S32,16.6504662,-23.7954491,2454,1153,143
S33,16.6505605,-23.7958415,2491,1171,187
S34,16.6510459,-23.7960605,2543,1225,229
S35,16.6515287,-23.7961756,2587,1275,260
S36,16.6521128,-23.7961004,2625,1332,277
S37,16.6523881,-23.7957694,2621,1352,254
S38,16.6522784,-23.7961286,2639,1349,286
S39,16.6524025,-23.7965278,2679,1371,332
S40,16.6515478,-23.7969152,2640,1299,336
S41,16.6507026,-23.7972655,2568,1229,338
S42,16.632273,-23.78967,524,22,1071
S43,16.6359454,-23.7911613,931,8,668
S44,16.6357017,-23.7915567,920,3,685
S45,16.6353305,-23.7911772,872,21,729
S46,16.6364199,-23.7919442,1003,3,607
S47,16.6361288,-23.7924857,993,62,635
S48,16.6356605,-23.7926584,953,68,683
S49,16.635226,-23.792849,917,64,729
S50,16.634758,-23.792796,869,55,776
S51,16.6343495,-23.792879,832,23,818
S52,16.6343133,-23.7924102,814,3,820
S53,16.627265,-23.791234,88,11,1544
S54,16.627686,-23.790871,117,17,1505
S55,16.628223,-23.790522,158,15,1456
S56,16.628769,-23.790473,209,14,1401
S57,16.6299135,-23.79039,318,2,1288
S58,16.630422,-23.790321,365,3,1238
S59,16.630868,-23.790152,403,9,1197
S60,16.63156,-23.789918,463,1,1134
S61,16.631861,-23.789641,483,10,1112
S62,16.6428,-23.78649,1205,484,495
S63,16.64311,-23.787264,1286,468,404
S64,16.643443,-23.78656,1260,534,468
S65,16.643854,-23.786543,1292,572,457
S66,16.643782,-23.786165,1261,587,499
S67,16.65399,-23.7967,2810,1533,414
S68,16.65412,-23.7963,2790,1536,379
S69,16.654,-23.79587,2749,1516,331
S70,16.65412,-23.79583,2755,1527,333
S71,16.65421,-23.79505,2705,1524,268
S72,16.65423,-23.79454,2671,1521,230
S73,16.65445,-23.79429,2671,1541,233
S74,16.65389,-23.79424,2623,1484,183
S75,16.65346,-23.79421,2587,1440,148
S76,16.65305,-23.79441,2569,1400,143
S77,16.65261,-23.79449,2541,1356,133
S78,16.65492,-23.78974,2434,1631,336
S79,16.6548,-23.79014,2445,1617,316
S80,16.65468,-23.79057,2458,1595,295
S81,16.65499,-23.78932,2419,1636,353
S82,16.65503,-23.78892,2402,1640,371
S83,16.6551,-23.78846,2384,1648,399
S84,16.65512,-23.78805,2366,1653,423
S85,16.65504,-23.78767,2340,1648,442
S86,16.65466,-23.79132,2499,1579,277
S87,16.65464,-23.79104,2481,1582,281
S88,16.65349,-23.79673,2775,1484,397
S89,16.65302,-23.79683,2748,1440,388
S90,16.65259,-23.79689,2720,1400,376
S91,16.65213,-23.797,2695,1358,369
S92,16.65115,-23.79695,2602,1261,324
S93,16.63578,-23.79051,893,21,702
S94,16.63535,-23.7906,854,38,741
S95,16.63492,-23.79074,817,37,780
S96,16.63447,-23.79081,776,44,823
S97,16.63402,-23.79099,738,39,864
S98,16.63361,-23.7911,702,40,903
S99,16.63326,-23.79084,659,48,943
S100,16.63316,-23.79039,634,3,963
S101,16.63362,-23.79027,675,12,921
S102,16.63405,-23.7901,711,15,884
S103,16.63317,-23.78972,613,62,982
S104,16.63278,-23.78956,570,41,1025
S105,16.63244,-23.7901,554,51,1042
S106,16.632,-23.79036,520,25,1079
S107,16.63159,-23.79059,488,15,1116
S108,16.63123,-23.79075,458,21,1149
S109,16.63076,-23.79094,419,16,1193
S110,16.63031,-23.79118,383,6,1235
S111,16.629914,-23.791313,349,7,1274
S112,16.629513,-23.791463,315,6,1313