Sample_ID,Longitude,Latitude,SOM (g/kg)
S1,16.6542455,-23.791474,1.56
S2,16.6542978,-23.7919629,1.65
S3,16.65422,-23.7924176,2.62
S4,16.6541637,-23.7929556,2.25
S5,16.6537479,-23.7927449,2.12
S6,16.6537345,-23.7922286,3.39
S7,16.6538157,-23.7917012,1.97
S8,16.6537617,-23.7910772,2.80
S9,16.6535273,-23.7905186,3.42
S10,16.6533134,-23.7900213,2.47
S11,16.6529054,-23.7895304,2.43
S12,16.652783,-23.7890362,1.41
S13,16.6532356,-23.7886652,1.29
S14,16.6533922,-23.7892208,1.63
S15,16.6536463,-23.7897255,1.50
S16,16.6538841,-23.7902842,2.03
S17,16.6539354,-23.7907198,1.70
S18,16.6551289,-23.7913496,1.57
S19,16.6552309,-23.7917362,1.92
S20,16.6552848,-23.7921089,2.79
S21,16.6554143,-23.7924369,6.71
S22,16.6555319,-23.7927973,5.32
S23,16.6556439,-23.7932063,6.16
S24,16.6552181,-23.7933275,4.27
S25,16.6553569,-23.7937066,1.61
S26,16.6555541,-23.7941677,4.02
S27,16.6556986,-23.7944184,2.66
S28,16.6522177,-23.7947279,2.56
S29,16.6518546,-23.7950322,2.80
S30,16.6513775,-23.7951942,3.71
S31,16.6509095,-23.7952878,1.57
S32,16.6504662,-23.7954491,1.47
S33,16.6505605,-23.7958415,
S34,16.6510459,-23.7960605,2.28
S35,16.6515287,-23.7961756,1.33
S36,16.6521128,-23.7961004,1.25
S37,16.6523881,-23.7957694,1.93
S38,16.6522784,-23.7961286,1.91
S39,16.6524025,-23.7965278,1.48
S40,16.6515478,-23.7969152,2.42
S41,16.6507026,-23.7972655,1.90
S42,16.632273,-23.78967,1.60
S43,16.6359454,-23.7911613,1.76
S44,16.6357017,-23.7915567,2.80
S45,16.6353305,-23.7911772,2.55
S46,16.6364199,-23.7919442,2.63
S47,16.6361288,-23.7924857,3.39
S48,16.6356605,-23.7926584,0.80
S49,16.635226,-23.792849,2.43
S50,16.634758,-23.792796,2.28
S51,16.6343495,-23.792879,2.35
S52,16.6343133,-23.7924102,1.98
S53,16.627265,-23.791234,1.95
S54,16.627686,-23.790871,1.86
S55,16.628223,-23.790522,1.54
S56,16.628769,-23.790473,1.31
S57,16.6299135,-23.79039,1.55
S58,16.630422,-23.790321,2.98
S59,16.630868,-23.790152,1.53
S60,16.63156,-23.789918,3.57
S61,16.631861,-23.789641,2.31
S62,16.6428,-23.78649,2.58
S63,16.64311,-23.787264,2.47
S64,16.643443,-23.78656,1.99
S65,16.643854,-23.786543,0.84
S66,16.643782,-23.786165,2.17
S67,16.65399,-23.7967,1.60
S68,16.65412,-23.7963,1.82
S69,16.654,-23.79587,1.50
S70,16.65412,-23.79583,2.43
S71,16.65421,-23.79505,3.70
S72,16.65423,-23.79454,3.30
S73,16.65445,-23.79429,1.77
S74,16.65389,-23.79424,3.49
S75,16.65346,-23.79421,1.84
S76,16.65305,-23.79441,2.21
S77,16.65261,-23.79449,2.07
S78,16.65492,-23.78974,1.45
S79,16.6548,-23.79014,1.95
S80,16.65468,-23.79057,1.22
S81,16.65499,-23.78932,3.36
S82,16.65503,-23.78892,2.04
S83,16.6551,-23.78846,3.50
S84,16.65512,-23.78805,1.33
S85,16.65504,-23.78767,1.87
S86,16.65466,-23.79132,2.73
S87,16.65464,-23.79104,2.68
S88,16.65349,-23.79673,2.40
S89,16.65302,-23.79683,1.69
S90,16.65259,-23.79689,2.69
S91,16.65213,-23.797,1.08
S92,16.65115,-23.79695,2.01
S93,16.63578,-23.79051,3.18
S94,16.63535,-23.7906,3.58
S95,16.63492,-23.79074,3.75
S96,16.63447,-23.79081,1.68
S97,16.63402,-23.79099,2.43
S98,16.63361,-23.7911,1.08
S99,16.63326,-23.79084,2.33
S100,16.63316,-23.79039,2.02
S101,16.63362,-23.79027,2.15
S102,16.63405,-23.7901,2.67
S103,16.63317,-23.78972,2.02
S104,16.63278,-23.78956,2.52
S105,16.63244,-23.7901,2.28
S106,16.632,-23.79036,2.79
S107,16.63159,-23.79059,1.53
S108,16.63123,-23.79075,1.91
S109,16.63076,-23.79094,2.37
S110,16.63031,-23.79118,2.71
S111,16.629914,-23.791313,1.61
S112,16.629513,-23.791463,1.85