Sample_ID,Longitude,Latitude,Sand (%),Silt (%),Clay (%)
S1,16.6542455,-23.791474,91.2,7.6,1.2
S2,16.6542978,-23.7919629,87.9,10.4,1.6
S3,16.65422,-23.7924176,91.8,7.0,1.3
S4,16.6541637,-23.7929556,89.7,8.8,1.5
S5,16.6537479,-23.7927449,86.4,12.0,1.6
S6,16.6537345,-23.7922286,89.0,9.4,1.6
S7,16.6538157,-23.7917012,87.1,11.4,1.5
S8,16.6537617,-23.7910772,88.6,9.8,1.6
S9,16.6535273,-23.7905186,89.4,8.6,2.0
S10,16.6533134,-23.7900213,86.9,11.2,1.9
S11,16.6529054,-23.7895304,88.7,9.3,2.0
S12,16.652783,-23.7890362,87.3,10.7,2.0
S13,16.6532356,-23.7886652,95.4,3.9,0.8
S14,16.6533922,-23.7892208,88.9,9.6,1.5
S15,16.6536463,-23.7897255,84.4,13.8,1.8
S16,16.6538841,-23.7902842,89.2,8.9,1.9
S17,16.6539354,-23.7907198,88.8,9.1,2.1
S18,16.6551289,-23.7913496,90.2,8.0,1.8
S19,16.6552309,-23.7917362,90.6,8.2,1.2
S20,16.6552848,-23.7921089,92.3,6.4,1.3
S21,16.6554143,-23.7924369,94.9,3.1,2.1
S22,16.6555319,-23.7927973,89.6,8.8,1.6
S23,16.6556439,-23.7932063,85.3,11.7,3.0
S24,16.6552181,-23.7933275,86.6,12.6,0.8
S25,16.6553569,-23.7937066,86.4,11.1,2.5
S26,16.6555541,-23.7941677,85.9,10.9,3.3
S27,16.6556986,-23.7944184,87.1,11.0,1.9
S28,16.6522177,-23.7947279,90.2,8.4,1.4
S29,16.6518546,-23.7950322,89.5,8.6,1.9
S30,16.6513775,-23.7951942,89.9,8.6,1.5
S31,16.6509095,-23.7952878,91.2,7.1,1.8
S32,16.6504662,-23.7954491,90.2,7.2,2.6
S33,16.6505605,-23.7958415,,,
S34,16.6510459,-23.7960605,87.4,9.9,2.6
S35,16.6515287,-23.7961756,86.4,10.8,2.8
S36,16.6521128,-23.7961004,90.1,7.7,2.1
S37,16.6523881,-23.7957694,90.4,7.9,1.7
S38,16.6522784,-23.7961286,92.3,5.9,1.7
S39,16.6524025,-23.7965278,89.1,7.3,3.7
S40,16.6515478,-23.7969152,91.2,6.8,2.0
S41,16.6507026,-23.7972655,91.8,6.4,1.8
S42,16.632273,-23.78967,97.0,2.5,0.5
S43,16.6359454,-23.7911613,87.0,10.9,2.1
S44,16.6357017,-23.7915567,92.5,6.5,1.0
S45,16.6353305,-23.7911772,82.2,17.5,0.3
S46,16.6364199,-23.7919442,94.2,4.7,1.1
S47,16.6361288,-23.7924857,89.9,8.8,1.3
S48,16.6356605,-23.7926584,90.2,8.2,1.6
S49,16.635226,-23.792849,91.1,7.4,1.5
S50,16.634758,-23.792796,88.7,10.7,0.7
S51,16.6343495,-23.792879,91.9,6.9,1.2
S52,16.6343133,-23.7924102,86.9,12.5,0.5
S53,16.627265,-23.791234,89.2,9.1,1.7
S54,16.627686,-23.790871,87.6,10.4,2.0
S55,16.628223,-23.790522,90.1,8.2,1.7
S56,16.628769,-23.790473,87.5,11.1,1.5
S57,16.6299135,-23.79039,90.5,8.0,1.5
S58,16.630422,-23.790321,87.9,9.0,3.1
S59,16.630868,-23.790152,87.0,11.7,1.3
S60,16.63156,-23.789918,86.4,12.5,1.1
S61,16.631861,-23.789641,85.1,14.3,0.6
S62,16.6428,-23.78649,87.2,11.2,1.5
S63,16.64311,-23.787264,89.9,9.9,0.2
S64,16.643443,-23.78656,84.9,13.2,2.0
S65,16.643854,-23.786543,97.0,2.5,0.4
S66,16.643782,-23.786165,90.5,8.1,1.3
S67,16.65399,-23.7967,89.2,8.8,2.0
S68,16.65412,-23.7963,91.4,6.5,2.1
S69,16.654,-23.79587,87.6,10.6,1.8
S70,16.65412,-23.79583,86.5,12.1,1.4
S71,16.65421,-23.79505,89.1,9.1,1.9
S72,16.65423,-23.79454,73.6,22.8,3.6
S73,16.65445,-23.79429,79.3,16.3,4.3
S74,16.65389,-23.79424,74.0,19.4,6.6
S75,16.65346,-23.79421,86.7,11.0,2.4
S76,16.65305,-23.79441,87.6,9.7,2.7
S77,16.65261,-23.79449,87.8,10.5,1.7
S78,16.65492,-23.78974,89.2,9.4,1.3
S79,16.6548,-23.79014,90.2,7.9,1.9
S80,16.65468,-23.79057,90.0,9.2,0.9
S81,16.65499,-23.78932,90.8,7.7,1.5
S82,16.65503,-23.78892,86.0,11.7,2.2
S83,16.6551,-23.78846,92.9,5.2,2.0
S84,16.65512,-23.78805,97.5,2.1,0.4
S85,16.65504,-23.78767,89.9,8.9,1.2
S86,16.65466,-23.79132,90.3,8.1,1.6
S87,16.65464,-23.79104,89.6,8.7,1.7
S88,16.65349,-23.79673,88.6,9.3,2.2
S89,16.65302,-23.79683,92.1,6.5,1.4
S90,16.65259,-23.79689,91.4,6.6,2.0
S91,16.65213,-23.797,91.1,7.3,1.6
S92,16.65115,-23.79695,87.3,10.2,2.5
S93,16.63578,-23.79051,84.6,14.1,1.4
S94,16.63535,-23.7906,84.1,13.5,2.3
S95,16.63492,-23.79074,89.0,8.8,2.1
S96,16.63447,-23.79081,87.9,9.6,2.5
S97,16.63402,-23.79099,82.5,15.6,1.9
S98,16.63361,-23.7911,88.2,10.1,1.7
S99,16.63326,-23.79084,84.6,13.1,2.2
S100,16.63316,-23.79039,83.1,12.8,4.1
S101,16.63362,-23.79027,80.6,16.9,2.5
S102,16.63405,-23.7901,79.6,15.6,4.8
S103,16.63317,-23.78972,84.8,13.8,1.4
S104,16.63278,-23.78956,88.5,11.0,0.5
S105,16.63244,-23.7901,90.2,8.5,1.3
S106,16.632,-23.79036,89.9,9.1,1.0
S107,16.63159,-23.79059,80.5,17.2,2.2
S108,16.63123,-23.79075,81.8,16.0,2.1
S109,16.63076,-23.79094,89.2,9.0,1.8
S110,16.63031,-23.79118,87.4,9.7,2.9
S111,16.629914,-23.791313,89.1,1.6,9.3
S112,16.629513,-23.791463,89.2,8.8,2.0