Sample_ID,Longitude,Latitude,NDVI,Land Use
S1,16.6542455,-23.791474,0.0655,barren
S2,16.6542978,-23.7919629,0.0684,barren
S3,16.65422,-23.7924176,0.0672,barren
S4,16.6541637,-23.7929556,0.0590,barren
S5,16.6537479,-23.7927449,0.0593,barren
S6,16.6537345,-23.7922286,0.0615,barren
S7,16.6538157,-23.7917012,0.0594,barren
S8,16.6537617,-23.7910772,0.0658,barren
S9,16.6535273,-23.7905186,0.0664,barren
S10,16.6533134,-23.7900213,0.0657,barren
S11,16.6529054,-23.7895304,0.0685,barren
S12,16.652783,-23.7890362,0.0702,barren
S13,16.6532356,-23.7886652,0.0678,barren
S14,16.6533922,-23.7892208,0.0678,barren
S15,16.6536463,-23.7897255,0.0673,barren
S16,16.6538841,-23.7902842,0.0670,barren
S17,16.6539354,-23.7907198,0.0657,barren
S18,16.6551289,-23.7913496,0.0679,barren
S19,16.6552309,-23.7917362,0.0645,barren
S20,16.6552848,-23.7921089,0.0697,barren
S21,16.6554143,-23.7924369,0.0661,barren
S22,16.6555319,-23.7927973,0.0582,barren
S23,16.6556439,-23.7932063,0.0697,barren
S24,16.6552181,-23.7933275,0.0700,barren
S25,16.6553569,-23.7937066,0.0755,barren
S26,16.6555541,-23.7941677,0.0643,barren
S27,16.6556986,-23.7944184,0.0723,barren
S28,16.6522177,-23.7947279,0.0601,barren
S29,16.6518546,-23.7950322,0.0564,barren
S30,16.6513775,-23.7951942,0.0574,barren
S31,16.6509095,-23.7952878,0.0585,barren
S32,16.6504662,-23.7954491,0.0604,barren
S33,16.6505605,-23.7958415,0.0640,barren
S34,16.6510459,-23.7960605,0.0589,barren
S35,16.6515287,-23.7961756,0.0596,barren
S36,16.6521128,-23.7961004,0.0579,barren
S37,16.6523881,-23.7957694,0.0604,barren
S38,16.6522784,-23.7961286,0.0608,barren
S39,16.6524025,-23.7965278,0.0683,barren
S40,16.6515478,-23.7969152,0.0723,barren
S41,16.6507026,-23.7972655,0.0662,barren
S42,16.632273,-23.78967,0.1029,residential
S43,16.6359454,-23.7911613,0.0688,residential
S44,16.6357017,-23.7915567,0.0647,residential
S45,16.6353305,-23.7911772,0.0821,residential
S46,16.6364199,-23.7919442,0.0837,residential
S47,16.6361288,-23.7924857,0.1071,residential
S48,16.6356605,-23.7926584,0.0933,residential
S49,16.635226,-23.792849,0.1134,residential
S50,16.634758,-23.792796,0.0724,residential
S51,16.6343495,-23.792879,0.0800,residential
S52,16.6343133,-23.7924102,0.0748,residential
S53,16.627265,-23.791234,0.0544,residential
S54,16.627686,-23.790871,0.0517,residential
S55,16.628223,-23.790522,0.0737,residential
S56,16.628769,-23.790473,0.0636,residential
S57,16.6299135,-23.79039,0.0592,residential
S58,16.630422,-23.790321,0.0801,residential
S59,16.630868,-23.790152,0.0787,residential
S60,16.63156,-23.789918,0.0713,residential
S61,16.631861,-23.789641,0.0973,residential
S62,16.6428,-23.78649,0.0733,barren
S63,16.64311,-23.787264,0.0749,barren
S64,16.643443,-23.78656,0.0612,barren
S65,16.643854,-23.786543,0.0805,barren
S66,16.643782,-23.786165,0.0601,barren
S67,16.65399,-23.7967,0.0632,barren
S68,16.65412,-23.7963,0.0655,barren
S69,16.654,-23.79587,0.0604,barren
S70,16.65412,-23.79583,0.0604,barren
S71,16.65421,-23.79505,0.0574,barren
S72,16.65423,-23.79454,0.0539,barren
S73,16.65445,-23.79429,0.0692,barren
S74,16.65389,-23.79424,0.0655,barren
S75,16.65346,-23.79421,0.0725,barren
S76,16.65305,-23.79441,0.0650,barren
S77,16.65261,-23.79449,0.0587,barren
S78,16.65492,-23.78974,0.0733,barren
S79,16.6548,-23.79014,0.0739,barren
S80,16.65468,-23.79057,0.0694,barren
S81,16.65499,-23.78932,0.0722,barren
S82,16.65503,-23.78892,0.0753,barren
S83,16.6551,-23.78846,0.0918,barren
S84,16.65512,-23.78805,0.0877,barren
S85,16.65504,-23.78767,0.0643,barren
S86,16.65466,-23.79132,0.0681,barren
S87,16.65464,-23.79104,0.0664,barren
S88,16.65349,-23.79673,0.0668,barren
S89,16.65302,-23.79683,0.0719,barren
S90,16.65259,-23.79689,0.0652,barren
S91,16.65213,-23.797,0.0687,barren
S92,16.65115,-23.79695,0.0690,barren
S93,16.63578,-23.79051,0.0682,residential
S94,16.63535,-23.7906,0.0692,residential
S95,16.63492,-23.79074,0.0692,residential
S96,16.63447,-23.79081,0.0759,residential
S97,16.63402,-23.79099,0.0669,residential
S98,16.63361,-23.7911,0.0699,residential
S99,16.63326,-23.79084,0.0746,residential
S100,16.63316,-23.79039,0.0614,residential
S101,16.63362,-23.79027,0.0594,residential
S102,16.63405,-23.7901,0.0622,residential
S103,16.63317,-23.78972,0.1126,residential
S104,16.63278,-23.78956,0.1062,residential
S105,16.63244,-23.7901,0.0822,residential
S106,16.632,-23.79036,0.0682,residential
S107,16.63159,-23.79059,0.0523,residential
S108,16.63123,-23.79075,0.0509,residential
S109,16.63076,-23.79094,0.0627,residential
S110,16.63031,-23.79118,0.0717,residential
S111,16.629914,-23.791313,0.0639,residential
S112,16.629513,-23.791463,0.0610,residential